Datetime,time,Measured & Upscaled,Most recent forecast,Day Ahead 11AM forecast,Day-ahead 6PM forecast,Week-ahead forecast,Monitored capacity,Load factor,Decremental bid Indicator
2022-6-8,5:30:00,247.26,712.99,870.26,842.02,250.94,2254.4,0.11,''
2022-6-8,5:15:00,266.93,716.77,837.4,884.42,261.39,2254.4,0.12,''
2022-6-8,5:00:00,294.66,724.32,809.19,856.2,273.79,2254.4,0.13,''
2022-6-8,4:45:00,314.12,780.54,850.11,858.04,268.65,2254.4,0.14,''
2022-6-8,4:30:00,419.89,842.47,887.44,872.16,273.17,2254.4,0.19,''
2022-6-8,4:15:00,470.37,908.62,924.67,907.41,280.89,2254.4,0.21,''
2022-6-8,4:00:00,534.77,975.07,959.2,939.99,281.57,2254.4,0.24,''
2022-6-8,3:45:00,609.3,1006.39,1003,976.87,313.05,2254.4,0.27,''
2022-6-8,3:30:00,725.79,1036.28,1045.07,1018.68,314.85,2254.4,0.32,''
2022-6-8,3:15:00,815.11,1063.61,1086.58,1060.05,313.22,2254.4,0.36,''
2022-6-8,3:00:00,901.11,1093.54,1120.28,1112.56,315.75,2254.4,0.4,''
2022-6-8,2:45:00,917.29,1122.65,1123.49,1131.45,323.36,2254.4,0.41,''
2022-6-8,2:30:00,839.36,1150.42,1135.67,1142.81,330.67,2254.4,0.37,''
2022-6-8,2:15:00,769.73,1176.35,1146.57,1157.77,333.82,2254.4,0.34,''
2022-6-8,2:00:00,762.81,1202.3,1164.27,1177.66,335.23,2254.4,0.34,''
2022-6-8,1:45:00,713.22,1213.48,1162.95,1176.14,325.45,2254.4,0.32,''
2022-6-8,1:30:00,800.94,1212.09,1171.25,1181.66,304.63,2254.4,0.36,''
2022-6-8,1:15:00,840.52,1211.98,1184.59,1184.79,285.29,2254.4,0.37,''
2022-6-8,1:00:00,813.27,1203.67,1196.93,1187.45,307.38,2254.4,0.36,''
2022-6-8,0:45:00,865.92,1193.74,1182.82,1167.9,322.29,2254.4,0.38,''
2022-6-8,0:30:00,818.77,1177.56,1155.72,1137.91,310.46,2254.4,0.36,''
2022-6-8,0:15:00,782.69,1160.25,1115.74,1111.52,316.37,2254.4,0.35,''
2022-6-8,0:00:00,690.44,1144.28,1077.69,1096.83,308.82,2254.4,0.31,''
2022-6-7,23:45:00,791.19,1115.39,592.14,581.44,361.79,2254.4,0.35,''
2022-6-7,23:30:00,908.26,1086.57,554.36,557.63,375.38,2254.4,0.4,''
2022-6-7,23:15:00,951.54,1058.36,527.49,530.39,389.16,2254.4,0.42,''
2022-6-7,23:00:00,1208.8,1033.58,510.81,506.81,403.39,2254.4,0.54,''
2022-6-7,22:45:00,1312.79,1001.96,489.25,490.18,418.08,2254.4,0.58,''
2022-6-7,22:30:00,1366.06,975.13,453.47,477.2,432.78,2254.4,0.61,''
2022-6-7,22:15:00,1261.51,949.73,416.6,449.28,453.63,2254.4,0.56,''
2022-6-7,22:00:00,1125.62,925.36,390.5,421.83,474.69,2254.4,0.5,''
2022-6-7,21:45:00,1108.09,903.19,371.83,386.3,483.68,2254.4,0.49,''
2022-6-7,21:30:00,951.96,878.85,351.37,352.74,493.33,2254.4,0.42,''
2022-6-7,21:15:00,835.02,853.44,318.65,333.36,528.84,2254.4,0.37,''
2022-6-7,21:00:00,772.94,827.99,284.25,324.1,558.2,2254.4,0.34,''
2022-6-7,20:45:00,702.36,773.54,259.56,311.88,552.84,2254.4,0.31,''
2022-6-7,20:30:00,738.19,720.71,251.12,296.43,527.82,2254.4,0.33,''
2022-6-7,20:15:00,743.41,672.19,248.52,276.3,503.7,2254.4,0.33,''
2022-6-7,20:00:00,702.16,631.62,245.68,259.83,483.59,2254.4,0.31,''
2022-6-7,19:45:00,545.2,613.02,240.44,242.12,466.93,2254.4,0.24,''
2022-6-7,19:30:00,460.11,577.87,234.87,223.62,461.58,2254.4,0.2,''
2022-6-7,19:15:00,383.75,545.26,224.56,209.27,456.32,2254.4,0.17,''
2022-6-7,19:00:00,362.67,519.06,210.75,201.52,433.81,2254.4,0.16,''
2022-6-7,18:45:00,418.16,539.52,193.31,191.57,402.16,2254.4,0.19,''
2022-6-7,18:30:00,414.7,566.06,182.41,179.86,406.3,2254.4,0.18,''
2022-6-7,18:15:00,439.43,596.35,173.11,168.65,423.95,2254.4,0.19,''
2022-6-7,18:00:00,391.04,629.22,164.32,154.72,422.29,2254.4,0.17,''
2022-6-7,17:45:00,190.56,629.65,154.71,135.3,405.67,2254.4,0.08,''
2022-6-7,17:30:00,86.1,627.27,143.19,111.28,400.82,2254.4,0.04,''
2022-6-7,17:15:00,45.14,630.91,129.87,91.48,402.56,2254.4,0.02,''
2022-6-7,17:00:00,60.99,633.88,118.09,80.24,404.31,2254.4,0.03,''
2022-6-7,16:45:00,47.52,550.92,104.56,71.32,394.95,2254.4,0.02,''
2022-6-7,16:30:00,22.17,474.7,86.12,63,332.49,2254.4,0.01,''
2022-6-7,16:15:00,10.3,406.69,72.58,55.36,313.77,2254.4,0,''
2022-6-7,16:00:00,8.77,347.24,67.53,50.9,314.9,2254.4,0,''
2022-6-7,15:45:00,5.85,281.28,66.31,47.25,316.04,2254.4,0,''
2022-6-7,15:30:00,5.6,224.39,66.58,44.82,313.49,2254.4,0,''
2022-6-7,15:15:00,4.09,175.46,66.46,44.81,277.66,2254.4,0,''
2022-6-7,15:00:00,8.6,135.48,65.6,47.15,259.62,2254.4,0,''
2022-6-7,14:45:00,15.21,130.4,64.26,47.02,251.22,2254.4,0.01,''
2022-6-7,14:30:00,20.16,127.23,65.09,47.34,246.11,2254.4,0.01,''
2022-6-7,14:15:00,20.63,124.78,65.49,48.07,242.68,2254.4,0.01,''
2022-6-7,14:00:00,19.25,125.26,63.32,49.2,238.85,2254.4,0.01,''
2022-6-7,13:45:00,22.24,108.89,57.19,49.22,249.14,2254.4,0.01,''
2022-6-7,13:30:00,17.99,112.7,52.23,48.06,256.32,2254.4,0.01,''
2022-6-7,13:15:00,15.32,118.03,46.75,45.85,263.63,2254.4,0.01,''
2022-6-7,13:00:00,17.64,125.54,41.63,43.19,264.73,2254.4,0.01,''
2022-6-7,12:45:00,18.69,129.56,39.13,42.04,251.17,2254.4,0.01,''
2022-6-7,12:30:00,27.81,135.63,35.89,42.19,240.23,2254.4,0.01,''
2022-6-7,12:15:00,35.29,142.67,35.23,42.41,243.31,2254.4,0.02,''
2022-6-7,12:00:00,38.51,150.76,35.92,43.9,269.84,2254.4,0.02,''
2022-6-7,11:45:00,42.41,157.26,35.84,45.6,296.75,2254.4,0.02,''
